latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type,persistence_count,land_cover_class,land_cover_name,label
22.04175,83.73528,337.68,0.45,0.63,2025-01-25,651,N,VIIRS,n,2,302.42,6.34,D,2,243,60.0,Bare/sparse vegetation,1
23.77934,86.39149,338.22,0.45,0.47,2025-01-30,658,N,VIIRS,n,2,304.91,9.38,D,2,400,,Unknown,1
21.85937,83.96654,306.27,0.34,0.56,2025-03-31,2041,N,VIIRS,n,2,294.65,1.42,N,2,50,50.0,Built-up,1
15.17973,76.65571,309.4,0.42,0.37,2025-03-26,2036,N,VIIRS,n,2,295.57,2.65,N,2,187,50.0,Built-up,1
15.18042,76.66553,336.38,0.38,0.36,2025-03-31,810,N,VIIRS,l,2,307.39,4.04,D,2,94,50.0,Built-up,1
20.79603,85.2558,336.32,0.51,0.41,2025-02-23,747,N,VIIRS,n,2,299.74,8.83,D,2,148,,Unknown,1
14.39935,78.62306,327.92,0.56,0.51,2025-03-04,2050,N,VIIRS,n,2,297.22,3.05,N,0,1,10.0,Tree cover,0
13.97583,78.13255,332.94,0.63,0.72,2025-02-14,855,N,VIIRS,n,2,300.44,2.35,D,0,1,20.0,Shrubland,0
23.77626,86.36391,332.46,0.46,0.39,2025-01-08,710,N,VIIRS,l,2,303.12,5.1,D,2,72,,Unknown,1
23.3414,92.24596,322.3,0.4,0.37,2025-03-13,1937,N,VIIRS,n,2,292.52,5.12,N,0,18,,Unknown,1
23.44094,82.20737,348.72,0.4,0.37,2025-03-11,748,N,VIIRS,n,2,309.1,4.49,D,0,1,10.0,Tree cover,0
19.17261,73.54277,306.86,0.52,0.42,2025-03-30,2101,N,VIIRS,n,2,292.22,2.24,N,0,2,30.0,Grassland,0
21.18384,81.38698,309.88,0.39,0.36,2025-03-22,2010,N,VIIRS,n,2,295.38,5.03,N,3,71,50.0,Built-up,1
20.86901,84.99467,336.55,0.63,0.54,2025-02-15,657,N,VIIRS,n,2,305.21,7.11,D,2,111,,Unknown,1
17.97647,80.5722,334.88,0.53,0.42,2025-03-17,733,N,VIIRS,l,2,309.38,6.18,D,0,2,30.0,Grassland,0
22.4239,83.75465,334.58,0.45,0.39,2025-01-02,722,N,VIIRS,n,2,304.07,3.23,D,0,1,40.0,Cropland,0
13.44667,80.09751,300.31,0.4,0.37,2025-01-22,2019,N,VIIRS,n,2,278.51,0.36,N,0,9,50.0,Built-up,1
22.43266,83.06371,336.85,0.42,0.38,2025-03-11,747,N,VIIRS,n,2,308.01,1.36,D,0,1,10.0,Tree cover,0
22.04524,83.7287,331.48,0.53,0.42,2025-02-28,2022,N,VIIRS,n,2,292.82,7.29,N,2,87,30.0,Grassland,1
18.65525,73.33603,336.34,0.44,0.38,2025-02-26,831,N,VIIRS,l,2,309.53,1.76,D,0,2,10.0,Tree cover,0
14.09867,78.67027,340.77,0.42,0.45,2025-02-18,739,N,VIIRS,l,2,311.5,4.68,D,0,2,40.0,Cropland,0
22.0514,83.3221,338.33,0.49,0.4,2025-03-16,753,N,VIIRS,n,2,304.82,3.23,D,0,1,10.0,Tree cover,0
22.16092,82.56403,333.23,0.4,0.37,2025-01-12,735,N,VIIRS,n,2,296.03,2.2,D,0,2,40.0,Cropland,0
22.00375,82.66637,308.15,0.55,0.68,2025-03-14,1919,N,VIIRS,n,2,295.4,2.42,N,2,119,50.0,Built-up,1
22.35379,82.29285,341.47,0.55,0.51,2025-01-08,710,N,VIIRS,n,2,305.88,6.05,D,2,101,30.0,Grassland,1
21.36252,81.68365,306.1,0.38,0.59,2025-02-20,1932,N,VIIRS,n,2,292.56,1.53,N,0,26,50.0,Built-up,1
20.79628,85.25337,331.09,0.63,0.54,2025-03-19,656,N,VIIRS,n,2,300.61,6.76,D,2,87,,Unknown,1
22.04739,83.73296,300.74,0.43,0.46,2025-03-05,2028,N,VIIRS,n,2,289.57,8.09,N,2,87,60.0,Bare/sparse vegetation,1
17.46785,78.20218,337.05,0.39,0.36,2025-01-21,805,N,VIIRS,n,2,311.06,1.72,D,0,1,40.0,Cropland,0
16.30292,75.49543,297.72,0.39,0.36,2025-01-05,2037,N,VIIRS,n,2,284.71,0.49,N,0,2,40.0,Cropland,0
21.0725,83.54092,335.87,0.51,0.41,2025-01-27,754,N,VIIRS,n,2,305.72,4.63,D,0,2,40.0,Cropland,0
21.36444,81.67607,305.14,0.62,0.54,2025-03-13,1938,N,VIIRS,n,2,294.8,2.83,N,2,26,50.0,Built-up,1
18.68279,73.04195,336.07,0.43,0.38,2025-02-26,831,N,VIIRS,l,2,309.41,5.56,D,2,119,50.0,Built-up,1
23.5607,81.57232,336.97,0.5,0.66,2025-03-30,831,N,VIIRS,l,2,310.88,2.54,D,0,1,40.0,Cropland,0
15.83827,77.48195,331.49,0.61,0.71,2025-03-18,714,N,VIIRS,l,2,306.34,2.62,D,0,1,40.0,Cropland,0
