latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type,persistence_count
23.7573,85.85567,300.51,0.43,0.62,2025-02-11,2041,N,VIIRS,n,2,287.58,1.73,N,2,79
21.43452,82.67416,333.84,0.38,0.36,2025-01-01,741,N,VIIRS,n,2,303.75,3.37,D,0,1
22.00442,82.26474,336.38,0.56,0.51,2025-02-09,710,N,VIIRS,n,2,307.11,2.81,D,0,2
23.56024,87.24088,301.97,0.43,0.46,2025-01-06,2015,N,VIIRS,n,2,288.49,1.34,N,2,247
22.12167,84.09183,337.46,0.4,0.37,2025-03-12,728,N,VIIRS,l,2,312.22,2.92,D,0,1
27.26097,84.11269,345.04,0.43,0.46,2025-02-20,705,N,VIIRS,n,2,301.17,15.08,D,0,3
24.12168,86.86098,304.21,0.42,0.38,2025-02-13,2003,N,VIIRS,n,2,286.73,0.99,N,2,132
23.44734,78.73712,310.0,0.5,0.41,2025-03-22,2009,N,VIIRS,n,2,291.83,1.94,N,0,2
21.82109,83.60572,337.95,0.41,0.37,2025-03-12,728,N,VIIRS,l,2,311.95,5.62,D,0,1
19.80388,80.21333,335.2,0.56,0.43,2025-03-31,812,N,VIIRS,n,2,308.07,3.56,D,0,2
15.16843,76.38113,306.3,0.49,0.4,2025-02-11,2043,N,VIIRS,n,2,294.09,1.56,N,2,115
29.72196,79.67778,353.78,0.44,0.63,2025-03-30,833,N,VIIRS,n,2,301.57,14.79,D,0,1
19.78213,80.2493,355.2,0.4,0.37,2025-03-27,746,N,VIIRS,n,2,312.86,9.24,D,0,1
20.89153,83.2833,342.02,0.41,0.45,2025-03-02,716,N,VIIRS,n,2,304.18,3.97,D,0,1
21.07862,83.3167,338.8,0.41,0.45,2025-03-02,716,N,VIIRS,n,2,305.48,5.94,D,0,2
20.97041,85.1529,308.25,0.44,0.46,2025-02-12,2023,N,VIIRS,n,2,294.66,1.79,N,2,70
23.28685,79.55396,350.18,0.59,0.53,2025-03-25,825,N,VIIRS,n,2,317.81,13.21,D,0,1
22.31955,82.56306,303.66,0.54,0.68,2025-02-10,1920,N,VIIRS,n,2,290.18,1.7,N,2,87
22.08221,78.67228,367.0,0.32,0.55,2025-03-14,831,N,VIIRS,h,2,316.35,10.42,D,0,2
25.8728,90.55128,328.67,0.59,0.53,2025-03-27,2014,N,VIIRS,n,2,290.52,4.24,N,0,2
25.70416,94.04863,335.53,0.34,0.56,2025-03-16,614,N,VIIRS,n,2,299.4,2.82,D,0,5
23.6786,86.08842,297.29,0.44,0.63,2025-01-10,2040,N,VIIRS,n,2,285.08,1.3,N,2,228
22.20975,84.86073,306.95,0.5,0.49,2025-03-08,1932,N,VIIRS,n,2,293.31,2.26,N,2,158
23.81931,85.49607,297.95,0.42,0.45,2025-01-27,2022,N,VIIRS,n,2,283.83,0.9,N,2,119
21.69694,80.88912,338.94,0.44,0.62,2025-03-30,831,N,VIIRS,n,2,306.87,4.59,D,0,2
20.98834,83.0078,333.25,0.37,0.58,2025-03-04,819,N,VIIRS,l,2,307.3,3.43,D,0,2
20.65282,80.11503,331.19,0.48,0.48,2025-03-20,818,N,VIIRS,l,2,305.31,2.15,D,0,1
15.1787,76.66402,305.03,0.42,0.61,2025-02-15,2108,N,VIIRS,n,2,294.84,2.6,N,2,187
25.79364,90.96865,329.59,0.54,0.51,2025-03-15,633,N,VIIRS,n,2,291.4,5.25,D,0,2
15.4092,74.88556,344.11,0.56,0.51,2025-03-11,746,N,VIIRS,n,2,310.29,6.43,D,0,1
23.77539,86.36317,327.99,0.41,0.37,2025-03-17,2003,N,VIIRS,n,2,297.91,4.6,N,2,72
23.6125,74.77084,340.82,0.5,0.66,2025-03-23,723,N,VIIRS,l,2,312.39,4.63,D,0,2
14.06302,78.56567,354.98,0.42,0.45,2025-02-18,739,N,VIIRS,n,2,310.99,7.0,D,0,5
